お名前(HN可),所属陣営,年末の日経平均株価は？
サントーシー,湘南投資勉強会,38900
ずーかー,湘南投資勉強会,38750
おとわ,湘南投資勉強会,38630
まこ,湘南投資勉強会,38500
大笑田,湘南投資勉強会,38500
せっきー,湘南投資勉強会,38500
えむ#,湘南投資勉強会,38500
よっしー,湘南投資勉強会,38500
ごろんちゃん,湘南投資勉強会,38330
ramune,湘南投資勉強会,38250
かもめ,湘南投資勉強会,38000
saita44,湘南投資勉強会,38000
sakumaT,湘南投資勉強会,38000
たかね,湘南投資勉強会,38000
いなじぃ,無所属,38000
株島,神戸投資勉強会,38000
cocoa,神戸投資勉強会,37700
エル川,湘南投資勉強会,37564
めそ,湘南投資勉強会,37500
K,神戸投資勉強会,37500
ぷに丸,湘南投資勉強会,37300
opopo,湘南投資勉強会,37240
だいふく,湘南投資勉強会,37000
しのぴーX＠横綱若三杉,神戸投資勉強会,37000
ののこ,湘南投資勉強会,36552
Yokabun,湘南投資勉強会,36544
ちょる子,湘南投資勉強会,36500
シンタロー,湘南投資勉強会,36000
けん,湘南投資勉強会,36000
どみの,神戸投資勉強会,36000
きたやん,神戸投資勉強会,36000
ベリーピザ,湘南投資勉強会,36000
くろすけ,湘南投資勉強会,36000
ボブ,湘南投資勉強会,36000
Cowとれーだー,湘南投資勉強会,36000
なのなの,湘南投資勉強会,35500
まるのん,湘南投資勉強会,35300
オニール好きの投資家,湘南投資勉強会,35250
ミシチェンコ騎兵団,無所属,35000
四丁目,湘南投資勉強会,35000
とこいえ,湘南投資勉強会,35000
うわん,神戸投資勉強会,35000
kawasemi7,湘南投資勉強会,35000
ゆかちん,はじめてです,35000
とりお,湘南投資勉強会,35000
にこいち,四季報investors,35000
ボダ子,初参加,35000
ぼんやり田中,神戸投資勉強会,35000
M,湘南投資勉強会,35000
さすけ,湘南投資勉強会,34999
ヒデゾー,湘南投資勉強会,34500
かま,湘南投資勉強会,34000
ぱじぃた,湘南投資勉強会,33000
ボントレ,湘南投資勉強会,33000
アポロ,湘南投資勉強会,33000
ごはん,湘南投資勉強会,32000
おともももちーー,無所属,32000
bamboo7,その他,32000
ゴミの持ち腐れ,湘南投資勉強会,32000
タカ@takanovalue,湘南投資勉強会,31200
KS,所属なし,31000
masa,神戸投資勉強会,30000
グコウさん,神戸投資勉強会,30000
りょう,湘南投資勉強会,30000
一心,湘南投資勉強会,30000
タダモノ,湘南投資勉強会,28000
mindset,湘南投資勉強会,23614
