ゆうと	神戸投資勉強会	3299	ムゲンエステート	476	1082	127.3%					hide	湘南投資勉強会	4318	クイック	2037	2578	26.6%				オニール好きの投資家	湘南投資勉強会	7388	ＦＰパートナー	1972.5	5190	163.1%
ロニー	湘南投資勉強会	3326	ランシステム	323	385	19.2%					きよし(神戸)	神戸投資勉強会	6554	エスユーエス	865	707	-18.3%										
あんこ	湘南投資勉強会	3328	ＢＥＥＮＯＳ	1911	1451	-24.1%					リョウ	湘南投資勉強会	7343	ブロードマインド	960	1037	8.0%										
ヨシ	湘南投資勉強会	3358	ワイエスフード	393	405	3.1%					でふし	神戸投資勉強会	9219	ギックス	1266	1114	-12.0%										
イタル	湘南投資勉強会	3359	ｃｏｔｔａ	315	545	73.0%					roku	湘南投資勉強会	2196	エスクリ	309	294	-4.9%										
ロニー	湘南投資勉強会	3359	ｃｏｔｔａ	315	545	73.0%					roku	湘南投資勉強会	4177	ｉ‐ｐｌｕｇ	1320	1158	-12.3%										
あんこ	湘南投資勉強会	3393	スターティアホールディングス	925	1341	45.0%					あちし	湘南投資勉強会	9272	ブティックス	1877.5	1575	-16.1%										
よっしー??	神戸投資勉強会	3415	ＴＯＫＹＯＢＡＳＥ	297	302	1.7%					なーたん	湘南投資勉強会	3550	スタジオアタオ	223	222	-0.4%										
加藤バネ男	神戸投資勉強会	3415	ＴＯＫＹＯＢＡＳＥ	297	302	1.7%					なーたん	湘南投資勉強会	4179	ジーネクスト	310	302	-2.6%										
加藤バネ男	神戸投資勉強会	3422	Ｊ－ＭＡＸ	596	483	-19.0%					よしぼん	神戸投資勉強会	8381	山陰合同銀行	759	994	31.0%										
ゆっき	湘南投資勉強会	3441	山王	928	873	-5.9%					ぺるる	湘南投資勉強会	5125	ファインズ	1335	574	-57.0%										
rurio	神戸投資勉強会	3449	テクノフレックス	991	1089	9.9%					シャカ	湘南投資勉強会	7038	フロンティア・マネジメント	1282	1511	17.9%										
