Date,Open,High,Low,Close,Volume
2023-01-27,1983.68,1985.03,1976.61,1982.66,1142567100
2023-01-26,1983.35,1987.63,1974.03,1978.4,1026178000
2023-01-25,1967.64,1983.74,1967.38,1980.69,1019060600
2023-01-24,1958.89,1974.26,1958.89,1972.92,1152396900
2023-01-23,1944.91,1947.88,1937.44,1945.38,1027491200
2023-01-20,1913.7,1927.6,1911.65,1926.87,981697100
2023-01-19,1922.47,1927.45,1914.61,1915.62,1084490000
2023-01-18,1909.25,1936.05,1902.35,1934.93,1438892500
2023-01-17,1891.61,1904.71,1888.85,1902.89,1091883200
2023-01-16,1892.13,1896.78,1885.69,1886.31,1176472100
2023-01-13,1902.94,1914.94,1899.43,1903.08,1515055700
2023-01-12,1905.26,1910.22,1899.28,1908.18,1277241300
2023-01-11,1890.55,1901.91,1890.24,1901.25,1088381700
2023-01-10,1887.69,1894.22,1879.67,1880.88,1139368400
2023-01-06,1865.07,1879.92,1863.39,1875.76,1114041100
2023-01-05,1868.45,1874.17,1864.08,1868.9,1171236400
2023-01-04,1879.19,1879.51,1862.27,1868.15,1298721900
2022-12-30,1902.27,1906.18,1891.46,1891.71,904956900
2022-12-29,1892.39,1895.34,1880.88,1895.27,1049834600
2022-12-28,1906.75,1909.32,1898.54,1909.02,1080374300
2022-12-27,1914.39,1918.25,1909.7,1910.15,918401900
2022-12-26,1900.36,1908.52,1897.17,1902.52,850027500
2022-12-23,1893.94,1899.75,1887.73,1897.94,1199124300
2022-12-22,1902.57,1909.7,1896.8,1908.17,1182415800
2022-12-21,1905.56,1911.36,1890.75,1893.32,1817449300
2022-12-20,1938.12,1944.42,1894.47,1905.59,1889908000
2022-12-19,1936.57,1944.71,1934.52,1935.41,1005353500
2022-12-16,1956.15,1959.66,1948.67,1950.21,1416726900
2022-12-15,1967.35,1978.93,1966.99,1973.9,954204500
2022-12-14,1966.5,1977.97,1966.36,1977.42,993201300
2022-12-13,1973.57,1976.18,1964.63,1965.68,1005483100
2022-12-12,1952.23,1960.36,1951.78,1957.33,957094900
2022-12-09,1948.0,1965.37,1948.0,1961.56,1158830400
2022-12-08,1943.06,1944.0,1929.5,1941.5,1142502300
2022-12-07,1939.26,1954.42,1938.3,1948.31,1107186200
2022-12-06,1942.53,1953.55,1942.28,1950.22,1059913400
2022-12-05,1953.0,1953.67,1941.17,1947.9,1135172800
2022-12-02,1969.34,1969.34,1945.48,1953.98,1374858000
2022-12-01,1996.72,2001.06,1986.46,1986.46,1287156300
2022-11-30,1985.11,1987.3,1976.33,1985.57,1703844500
2022-11-29,1993.9,1995.97,1985.6,1992.97,1190814400
2022-11-28,2018.61,2019.79,1997.82,2004.31,1176664700
2022-11-25,2019.5,2020.94,2013.78,2018.0,1047127000
2022-11-24,2014.11,2023.39,2013.68,2018.8,1354815100
2022-11-22,1983.1,1998.61,1982.72,1994.75,1244357800
2022-11-21,1972.49,1975.14,1965.64,1972.57,1005494500
2022-11-18,1971.79,1976.33,1966.06,1967.03,1169368900
2022-11-17,1962.79,1972.75,1962.79,1966.28,1110699100
2022-11-16,1964.48,1966.78,1948.89,1963.29,1266685500
2022-11-15,1958.22,1966.49,1957.44,1964.22,1258694100
2022-11-14,1974.87,1975.86,1956.9,1956.9,1503958100
2022-11-11,1963.65,1980.01,1961.75,1977.76,1784645800
2022-11-10,1934.55,1939.1,1930.66,1936.66,1303237800
2022-11-09,1957.48,1959.14,1946.22,1949.49,1315364600
2022-11-08,1945.0,1961.74,1944.93,1957.56,1375776500
2022-11-07,1929.57,1938.28,1927.27,1934.09,1263791900
2022-11-04,1925.04,1926.98,1907.61,1915.4,1676514600
2022-11-02,1933.42,1944.95,1933.42,1940.46,1464160000
2022-11-01,1934.45,1938.98,1930.3,1938.5,1269629800
2022-10-31,1916.08,1929.43,1915.62,1929.43,1266269600
2022-10-28,1894.93,1908.58,1892.33,1899.05,2489140300
2022-10-27,1916.86,1916.86,1905.48,1905.56,1111100600
2022-10-26,1916.61,1925.7,1916.38,1918.21,1083344000
