,pokemon_name,params,ranking,param_name,rate
187,オーガポン,覚えているわざ,5,じゃれつく,27.7
188,オーガポン,覚えているわざ,6,がんせきふうじ,22.7
189,オーガポン,覚えているわざ,7,アンコール,19.3
190,オーガポン,覚えているわざ,8,はたきおとす,17.1
191,オーガポン,覚えているわざ,9,みがわり,13.6
192,オーガポン,覚えているわざ,10,やどりぎのタネ,8.8
193,オーガポン,とくせい,1,かたやぶり,61.9
194,オーガポン,とくせい,2,ちょすい,25.1
195,オーガポン,とくせい,3,がんじょう,10.6
196,オーガポン,とくせい,4,まけんき,2.4
197,オーガポン,せいかく,1,ようき,52.8
198,オーガポン,せいかく,2,いじっぱり,37.8
199,オーガポン,せいかく,3,わんぱく,4.2
200,オーガポン,せいかく,4,しんちょう,2.6
201,オーガポン,せいかく,5,さみしがり,2.4
202,オーガポン,せいかく,6,むじゃき,0.1
203,オーガポン,せいかく,7,まじめ,0.0
204,オーガポン,せいかく,8,やんちゃ,0.0
205,オーガポン,せいかく,9,せっかち,0.0
206,オーガポン,せいかく,10,おくびょう,0.0
207,オーガポン,もちもの,1,かまどのめん,61.9
208,オーガポン,もちもの,2,いどのめん,25.1
209,オーガポン,もちもの,3,いしずえのめん,10.6
210,オーガポン,もちもの,4,こだわりハチマキ,1.0
211,オーガポン,もちもの,5,ラムのみ,0.3
212,オーガポン,もちもの,6,とつげきチョッキ,0.2
213,オーガポン,もちもの,7,こだわりスカーフ,0.2
214,オーガポン,もちもの,8,きあいのタスキ,0.2
215,オーガポン,もちもの,9,いのちのたま,0.2
216,オーガポン,もちもの,10,いかさまダイス,0.1
217,オーガポン,テラスタイプ,1,ほのお,64.4
218,オーガポン,テラスタイプ,2,みず,27.4
219,オーガポン,テラスタイプ,3,いわ,4.7
220,オーガポン,テラスタイプ,4,くさ,3.6
221,オーガポン,テラスタイプ,5,こおり,0.0
222,オーガポン,同じチーム,1,ハバタクカミ,-1
223,オーガポン,同じチーム,2,カイリュー,-1
224,オーガポン,同じチーム,3,サーフゴー,-1
225,オーガポン,同じチーム,4,ウーラオス,-1
226,オーガポン,同じチーム,5,ガチグマ,-1
227,オーガポン,同じチーム,6,パオジアン,-1
228,オーガポン,同じチーム,7,ポリゴン２,-1
229,オーガポン,同じチーム,8,ハッサム,-1
230,オーガポン,同じチーム,9,アシレーヌ,-1
231,オーガポン,同じチーム,10,ラティオス,-1
232,オーガポン,倒したポケモン,1,ハバタクカミ,-1
233,オーガポン,倒したポケモン,2,オーガポン,-1
234,オーガポン,倒したポケモン,3,カイリュー,-1
235,オーガポン,倒したポケモン,4,アシレーヌ,-1
236,オーガポン,倒したポケモン,5,ウーラオス,-1
237,オーガポン,倒したポケモン,6,サーフゴー,-1
238,オーガポン,倒したポケモン,7,ガチグマ,-1
239,オーガポン,倒したポケモン,8,ハッサム,-1
240,オーガポン,倒したポケモン,9,ラティオス,-1
241,オーガポン,倒したポケモン,10,ポリゴン２,-1
242,オーガポン,倒したわざ,1,ツタこんぼう,58.1
243,オーガポン,倒したわざ,2,ウッドホーン,23.3
244,オーガポン,倒したわざ,3,でんこうせっか,6.1
245,オーガポン,倒したわざ,4,じゃれつく,3.4
246,オーガポン,倒したわざ,5,がんせきふうじ,2.5
247,オーガポン,倒したわざ,6,はたきおとす,2.5
248,オーガポン,倒したわざ,7,パワーウィップ,1.0
249,オーガポン,倒したわざ,8,くさわけ,0.9
250,オーガポン,倒したわざ,9,ウッドハンマー,0.5
251,オーガポン,倒したわざ,10,ばかぢから,0.3
252,オーガポン,倒されたポケモン,1,カイリュー,-1
253,オーガポン,倒されたポケモン,2,オーガポン,-1
254,オーガポン,倒されたポケモン,3,ハバタクカミ,-1
255,オーガポン,倒されたポケモン,4,ウーラオス,-1
256,オーガポン,倒されたポケモン,5,パオジアン,-1
257,オーガポン,倒されたポケモン,6,ガチグマ,-1
258,オーガポン,倒されたポケモン,7,ラティオス,-1
259,オーガポン,倒されたポケモン,8,ウーラオス,-1
260,オーガポン,倒されたポケモン,9,トドロクツキ,-1
261,オーガポン,倒されたポケモン,10,ウガツホムラ,-1
262,オーガポン,倒されたわざ,1,しんそく,5.4
263,オーガポン,倒されたわざ,2,ツタこんぼう,5.3
264,オーガポン,倒されたわざ,3,じしん,4.8
265,オーガポン,倒されたわざ,4,テラバースト,4.5
266,オーガポン,倒されたわざ,5,シャドーボール,3.7
267,オーガポン,倒されたわざ,6,スケイルショット,2.9
268,オーガポン,倒されたわざ,7,ムーンフォース,2.8
269,オーガポン,倒されたわざ,8,すいりゅうれんだ,2.8
270,オーガポン,倒されたわざ,9,ふいうち,2.3
271,オーガポン,倒されたわざ,10,アクアジェット,2.1
272,サーフゴー,覚えているわざ,1,ゴールドラッシュ,92.1
273,サーフゴー,覚えているわざ,2,シャドーボール,84.0
274,サーフゴー,覚えているわざ,3,じこさいせい,53.6
275,サーフゴー,覚えているわざ,4,トリック,51.2
276,サーフゴー,覚えているわざ,5,わるだくみ,41.4
277,サーフゴー,覚えているわざ,6,１０まんボルト,22.6
278,サーフゴー,覚えているわざ,7,でんじは,14.3
279,サーフゴー,覚えているわざ,8,たたりめ,11.0
280,サーフゴー,覚えているわざ,9,きあいだま,7.6
281,サーフゴー,覚えているわざ,10,テラバースト,6.4
282,サーフゴー,とくせい,1,おうごんのからだ,100.0
283,サーフゴー,せいかく,1,ひかえめ,40.7
284,サーフゴー,せいかく,2,おくびょう,35.1
285,サーフゴー,せいかく,3,ずぶとい,19.0
286,サーフゴー,せいかく,4,おだやか,4.2
287,サーフゴー,せいかく,5,がんばりや,0.1
288,サーフゴー,せいかく,6,すなお,0.1
289,サーフゴー,せいかく,7,れいせい,0.1
290,サーフゴー,せいかく,8,おっとり,0.1
291,サーフゴー,せいかく,9,ようき,0.1
292,サーフゴー,せいかく,10,せっかち,0.1
293,サーフゴー,もちもの,1,こだわりスカーフ,36.6
294,サーフゴー,もちもの,2,おんみつマント,23.4
295,サーフゴー,もちもの,3,こだわりメガネ,19.6
296,サーフゴー,もちもの,4,ゴツゴツメット,8.4
297,サーフゴー,もちもの,5,たべのこし,4.2
298,サーフゴー,もちもの,6,ふうせん,2.1
299,サーフゴー,もちもの,7,とつげきチョッキ,1.8
300,サーフゴー,もちもの,8,じゃくてんほけん,0.8
301,サーフゴー,もちもの,9,オボンのみ,0.6
302,サーフゴー,もちもの,10,いのちのたま,0.4
303,サーフゴー,テラスタイプ,1,みず,32.2
304,サーフゴー,テラスタイプ,2,ひこう,28.2
305,サーフゴー,テラスタイプ,3,はがね,13.3
306,サーフゴー,テラスタイプ,4,ノーマル,7.8
307,サーフゴー,テラスタイプ,5,かくとう,5.5
308,サーフゴー,テラスタイプ,6,フェアリー,5.5
309,サーフゴー,テラスタイプ,7,ゴースト,4.6
310,サーフゴー,テラスタイプ,8,ドラゴン,0.9
311,サーフゴー,テラスタイプ,9,あく,0.5
312,サーフゴー,テラスタイプ,10,ステラ,0.4
